tiempo_llegada,tiempo_salida_servidor
"1695,032912","1721,286334"
"1706,521954","1727,253098"
"1707,545748","1727,260617"
"1716,830075","1731,006329"
"1731,238141","1735,284107"
"1749,960766","1752,261392"
"1772,239117","1783,731745"
"1772,820919","1786,512758"
"1773,321878","1788,668661"
"1780,780278","1795,348985"
"1781,532768","1806,004503"
"1782,076193","1814,172342"
"1788,587175","1815,940714"
"1810,047609","1822,39631"
"1810,065927","1823,66664"
"1814,658795","1831,01077"
"1823,767046","1833,166552"
"1841,058816","1844,158197"
"1843,085304","1850,537129"
"1864,001056","1864,861641"
"1869,398329","1873,583162"
"1870,680385","1892,876553"
"1874,172136","1895,479254"
"1882,296424","1897,61176"
"1883,105845","1902,651567"
"1885,473223","1903,665018"
"1886,446784","1911,250131"
"1890,298751","1913,098337"
"1915,653703","1926,346105"
"1917,336879","1926,801091"
"1945,759109","1951,764639"
"1947,119399","1959,61109"
"1971,121823","1973,952833"
"2003,463499","2007,854303"
"2009,091817","2011,798394"
"2020,51987","2023,703801"
"2035,441305","2042,738691"
"2036,778056","2043,089844"
"2037,656192","2045,036503"
"2038,611045","2055,710507"
"2039,970171","2060,267886"
"2044,453993","2084,322614"
"2060,898794","2084,527596"
"2079,47077","2087,623545"
"2080,57241","2088,039519"
"2082,400383","2091,345259"
"2083,451118","2095,919772"
"2087,281518","2099,474657"
"2096,622552","2107,160122"
"2115,24397","2115,735632"
"2127,406613","2128,032071"
"2161,38356","2163,247867"
"2168,899056","2187,537969"
"2169,686191","2192,738865"
"2177,913157","2192,75245"
"2180,951695","2196,73199"
"2181,623977","2211,692553"
"2189,747383","2215,494037"
"2196,363767","2215,513045"
"2202,717939","2221,349928"
"2207,53489","2226,27005"
"2211,582918","2240,951864"
"2225,505275","2244,329136"
"2242,23283","2248,151611"
"2246,100505","2257,477781"
"2248,009912","2263,455497"
"2251,496372","2290,807744"
"2267,14211","2292,809152"
"2270,700586","2294,08985"
"2274,454529","2302,9338"
"2283,408332","2327,535397"
"2285,876378","2330,080101"
"2291,074887","2334,436662"
"2302,320442","2335,47142"
"2307,029023","2374,965806"
"2308,070941","2383,380364"
"2320,535957","2389,919597"
"2322,688367","2393,792153"
"2355,196991","2395,393001"
"2360,775713","2399,634954"
"2407,793983","2411,049873"
"2408,36951","2411,426539"
"2414,123711","2414,987181"
"2415,42113","2418,867495"
"2422,27647","2424,671741"
"2422,420672","2426,875819"
"2428,270209","2435,824593"
"2438,127636","2441,727242"
"2448,976607","2450,075566"
"2449,155442","2453,904052"
"2454,723624","2457,891444"
"2474,570212","2480,261522"
"2482,650293","2484,739062"
"2493,780413","2506,629805"
"2498,520831","2510,900186"
"2503,364726","2523,58198"
"2506,518501","2529,453345"
"2509,691486","2541,274182"
"2510,593261","2550,606414"
"2513,019895","2557,567975"
"2514,365009","2560,122922"
"2519,957209","2561,882976"
"2520,357139","2579,696318"
"2533,942308","2583,537686"
"2534,32326","2584,3506"
"2560,93367","2591,759178"
"2593,599853","2598,566616"
"2600,375982","2601,93349"
"2601,804573","2605,52777"
"2638,985033","2641,215795"
"2641,442599","2678,068419"
"2645,921174","2685,482189"
"2646,38904","2686,944558"
"2654,495772","2686,994244"
"2660,984916","2689,194052"
"2664,391192","2694,700047"
"2671,830383","2696,408608"
"2692,324888","2710,968814"
"2711,574184","2713,573357"
"2726,232694","2738,400013"
"2733,844683","2740,197538"
"2746,818515","2748,225854"
"2818,01016","2828,023365"
"2821,963104","2831,688702"
"2839,684754","2859,228163"
"2850,51289","2865,057948"
"2854,892109","2884,112588"
"2871,867482","2884,290583"
"2879,175325","2884,924308"
"2885,531342","2887,492765"
"2896,061699","2901,995801"
"2899,266121","2906,328529"
"2904,41691","2909,431514"
"2920,310919","2931,114063"
"2924,621821","2946,022555"
"2929,535822","2947,647131"
"2931,897751","2949,108063"
"2978,013471","2985,882416"
"2985,984283","3002,513955"
"2986,126801","3003,68233"
"2988,253345","3014,662684"
"2996,274851","3017,570761"
"2999,466708","3022,504232"
"3000,070162","3026,268368"
"3000,803398","3030,30625"
"3008,20448","3037,852797"
"3013,406494","3047,052875"
"3030,60846","3047,317339"
"3031,607296","3049,879751"
"3040,961531","3055,977103"
"3042,398211","3065,260525"
"3060,640615","3086,144872"
"3067,599318","3102,814829"
"3090,802323","3108,923267"
"3097,570982","3110,296198"
"3104,549985","3118,82134"
"3109,256646","3119,065626"
"3126,873032","3127,621315"
"3144,908266","3149,322115"
"3145,027971","3154,413176"
"3151,550786","3164,299311"
"3152,47482","3167,997615"
"3175,859599","3183,163349"
"3190,968039","3192,851736"
"3192,752787","3193,002553"
"3211,383627","3236,805295"
"3218,790406","3250,745143"
"3220,473505","3267,322064"
"3231,541941","3267,901188"
"3232,325426","3268,727191"
"3241,484956","3269,987773"
"3247,027342","3274,830533"
"3255,707848","3278,960336"
"3278,645134","3280,209098"
"3294,382569","3302,542151"
"3297,854724","3304,588814"
"3333,378292","3338,240298"
"3348,277588","3352,459472"
"3352,840563","3354,2867"
"3386,021547","3410,541669"
"3390,106792","3417,374703"
"3391,709136","3441,793279"
"3436,465441","3449,905791"
"3451,381707","3457,731406"
"3452,097972","3466,023529"
"3455,164674","3498,651452"
"3462,723586","3501,329584"
"3488,38473","3507,339504"
"3492,412797","3510,748549"
"3499,944113","3516,599373"
"3507,774333","3522,940648"
"3508,885984","3527,630061"
"3515,47005","3531,855331"
"3537,424367","3541,45887"
"3538,651021","3544,429561"
"3549,258299","3552,111047"
"3555,843532","3561,137746"
"3559,443526","3567,699307"
"3579,561919","3589,915847"
"3605,086063","3608,585227"
"3608,609185","3620,373586"
"3611,355367","3625,64682"
"3613,147254","3637,323292"
"3613,983544","3638,320325"
"3628,578516","3649,852648"
"3634,231722","3655,494884"
"3637,920228","3657,446165"
"3639,433226","3658,920114"
"3639,806164","3659,31684"
"3641,18636","3670,672125"
"3641,186643","3671,586351"
"3643,218692","3683,678124"
"3643,834381","3690,975305"
"3663,462238","3702,113498"
"3670,15182","3702,575066"
"3673,82549","3707,308347"
"3679,016313","3708,881805"
"3679,216889","3715,401973"
"3679,83056","3717,704801"
